ID|Role|YearsExperience|Gender|Age|Strengths|Weaknesses|Opportunities|Threats
151|Master Gardener Volunteer|0-5|Female|45-64|Keeps the gardens in the communities looking beautiful for everyone to enjoy and learn.|All good.|I think it’s wonderful that the programs encompass such a wide variety of community services such as education in schools, beautify hospice facilities to visitor centers, deliver needed food supply, help with invasive species, etc.|I don’t see any.
152|Master Gardener Volunteer|43595|Female|65+|Using researched based info.  Being part of the extension and University system|Leadership training, how to mentor volunteers.  A clear message to those taking the basic training of the requirements for MG and to incorporate them into the local program. |Teaching and requiring all members to do research for amswering the questions|Loosly run organizations.  Needs to better compliance to rules and consistency throughout WI
153|Master Gardener Volunteer|43595|Female|45-64|Community involvement & eductation--community food & flower gardens, the Hort building at the fair, Expo offering every year, presentations  & activities in the schools...|The program desperately lacks an understanding of sustainble practices.  How can you grow food for people (or help people grow food) & not be using sustainable practices? It is the biggest hurdle I have at present.|Again, the topic of being sustainable--organic practices if you will.,|Gardening is hard work; people don't want to do it. People can have their food sent via Amazon to them; why grow it?  They don't understand it will always be more nutrient dense to grow it yourself.
154|Master Gardener Volunteer|43595|Female|65+|Continuing Education.  Plant sale.  |Not sure.|Perhaps we could develop a Native Plant Rescuse group.  With new construction, perhaps this could be a good opportunity.|Jumping worms.  I have native plants in Oneida county that I could donate for the plant sale.  Unable to because of the worms.  Perhaps some way of bringing them home and keeping them for a period of time and then checking the plants and soil.
155|Master Gardener Volunteer|10+|Female|65+|I see the program's greatest strength in horticulture education for members and the public. Community educational outreach on horticulture and the natureal world is my special area of interest.|The only  thing that comes to mind is clarifying criteria for selection of projects. Because MG volunteer hours are limited, I would suggest avoiding high maintenance projects without significant involvement by other community organizations.|I think MG's have an opportunity to become more deeply involved in the trend toward community collaborations to achieve specific goals. Members come from throughout the community and have many connections that could be capitalized upon.|Gardening is still a highly popular hobby, but these things change, and could affect membership. We have difficulty recruiting younger people and interesting them in horticulture. Busy lifestyles limit the amount of time people have to be involved in any organizations or devote to education that doesn't advance their careers. 
156|Master Gardener Volunteer|0-5|Female|45-64|Katlyns personal attention.  Love the human interaction.  She is so engaging|When discussing for example the parts of a plant, it would be nice to have a kit with examples of the info you are teaching.  I took the class during fall, winter and real plant examples weren’t available to view it.  It’s hard to see the pics on a screen.|Broad view of opportunities available.  We were introduced to so many different avenues to engage in.  |Providing continuing education that is hands on,  
157|Master Gardener Volunteer|43595|Female|45-64|Educating the public , sharing knowledge , and supporting them to find answers to all their gardening needs . |Often at events there is not available literature to hand out & announce the MGV program|Need to educate our young , getting into the schools and sharing|None
158|Other|43595|Male|45-64|The use of technology.|Continue to leverage technology in new ways|N/A|Broadband access in more rural areas
159|Local support staff|10+|Female|45-64|Educate members about different aspects of gardening.  Wide range of topics are offered and taught.|I would like to see a little bit more of botany lessons and more on hybridizing.|Need to understand what is happening with the bees?  Natural ideas for preventing herbicides and pesticides. |There are local garden clubs; but I don't think they are a threat.  Mostly share programs between both.
160|Master Gardener Volunteer|10+|Female|65+|RacineCounty MG program was working well  over the last few years we have lost leadership support. Many good volunteers are leaving the program |Give us a horticulturist who can lead and support us |More work with youth and County wide opportunities. Example. The Racine Zoo would love to have MG to return |Too much concern about volunteer hours. We have lost sight of the big picture. Also too many rumors about rules and regulations and no leader to aid in determining answers   We currently share a three County leader who can give Racine 1 day a week. She is a fine person but is not a horticulturist .  We are not going to grow under these circumstances  .
161|Master Gardener Volunteer|10+|Female|65+|continuing education on topics related to gardening; brings info about the joy of gardening, landscaping, etc to the wider community; opportunity to meet with others who share my enthusiasm.|more uniformity statewide in qualifying activities for yearly required hours of education and support services|Citizen Science big opportunity; climate change and how communities and individual gardeners can adapt |competitors include large garden centers that have seasonal programs, bus trips, etc; botanical gardens that have similar educational programs; internal threat UW priorities that may change and demote MGP
162|Master Gardener Volunteer|43595|Female|45-64|I just love all the programing. The seminars, talks, workshops etc. |I would like to see a greater amount of programing conducted in the evenings. I often cannot attend a program as I work full time. That is frustrating. |I think the MG participation in school gardens is excellent. I would like to see this expanded.|The biggest threat is funding. 
163|Master Gardener Volunteer|10+|Female|45-64|Master Gardeners are the bridge between unpaid experience providers and the general public.  We host events that homeowners, families, and individuals can look to to enlighten their lives and experiences in growing food, enhancing their yards, or teaching children.  We are a trusted source for problems that can save UW Extension staff time and energy to solve problems.  We are asked by businesses and community leaders to donate our time to help where funding simply is not available.  |"Please stop questioning us and making us ""prove"" our worth.  Gardening is a basic need and should be a life-skill that is rarely taught yet highly revered.  We give freely of our time and expertise and it is humiliating that our efforts are being scrutinized instead of honored."|"The trend should be ""let's promote the efforts of those who are making a positive difference already in their communities!"""|Funding has scaled back our program, and the resources for the general public.  Is growing food, beautifying our yards, gardens, cities and the planet becoming obsolete?  Or should we pour efforts into self-sustaining ways in both food and waste management?
164|Master Gardener Volunteer|0-5|Female|65+|There is so much variety in what is available for volunteer opportunities so a nitch for everyone.|As a MG intern, I don't think I can respond to this yet.|Again, still too new to the program to be able to respond to this.|??
165|Master Gardener Volunteer|10+|Female|65+|1.  provides a forum for the community to gain education  2. provides an opportunity for MGV to give back to the community in expanding community garden venues in a native to the area way  |There should be a way to make it more attractive to those volunteers that work ie hours venue etc. and yet provide what the community needs.  |education arena -- which could also be the plant hotline|not sure how to answer,  don't know there is a threat.  or competitors.  in lincoln county teaming up with Sustainable living might help in bringing MG program community forwa
166|Master Gardener Volunteer|0-5|Female|65+|Using my interest in gardening in the community through gardening in public spaces and providing education. The program provides good support (educationally and administratively) and provides a wide variety of opportunities to meet volunteers’ interests, talents, and abilities.|This period of transition and uncertainty and the departure of so many long time and beloved staff members has been difficult. Regular communication and transparency about the ongoing process is appreciated.|Diversity is oftentimes mentioned, but our group in Southeastern Wisconsin is anything but. We need to find a way to reach out and open up.|I didn’t ever think about Master Gardeners having competitors. I would rather think in terms of who can we cooperate with.
167|Master Gardener Volunteer|10+|Female|65+|Learning more about plants and gardening|The volunteer categories.  Let everyone do what is right for them|Sponsor enrollment in gardening classes at local colleges/tech schools|Gardening clubs that do not require volunteer hours
168|Master Gardener Volunteer|0-5|Female|65+|involvement in the community, free community education through programs at Crossroads and at the Garden Door, the Garden Door as an exemplary garden and tourist attraction, the camaraderie of the master gardeners, the involvement of the extension agent (Annie Deutsch)|not sure.  I'm satisfied with how things are...|the growth of the Seed Library at the public library|not sure
169|Master Gardener Volunteer|43595|Prefer not to respond|65+|Diagnostic help. “What’s wrong with...”|Number of required volunteer hours|Pass|Lack of local professional support, e.g., horticultural agent
170|Local support staff|0-5|Female|25-44|'-Community service -General public education -Provides a positive face for Extension |'-Volunteer Organization -Finding new members, hitting the newer generation of people|'-Homesteading - Beyond growing (preserving your harvest) -Value added sales and products from your home|'-None
171|Master Gardener Volunteer|0-5|Female|45-64|People centered|Not every county has a group|Touching the local community more|None
172|Master Gardener Volunteer|0-5|Female|45-64|Community outreach|Continued levels of education |Technology-|Farmer markets
173|Master Gardener Volunteer|0-5|Female|45-64|The educational materials are excellent. I particularly like the recent addition of the Plants Plus series.|Not all volunteer opportunities are linked to the stated goal of educating the public. The benefits of being a volunteer are not clearly articulated, making it difficult to attract more volunteers. |Community gardens are increasingly popular and there is a desire by people, particularly millennials, to grow their own food, but a lot of people try it and fail due to lack of knowledge. There is a significant opportunity for the Master Gardener Program to help these people be more successful. |Not being able to attract volunteers and the lack of funding support by the University.
174|Master Gardener Volunteer|43595|Female|65+|Education |Not sure|Bringing in younger volunteers |Many other options for education and volunteering in the community 
175|Master Gardener Volunteer|10+|Female|65+|Getting gardeners together to share their skills. knowledge, abilities|Currently to much intervention by monitor/Ext person|Education of children - the future of our program|Garden clubs seem to be competitive
176|Master Gardener Volunteer|0-5|Female|45-64|Excellent Education of volunteers, promoting of gardening in the larger community |Improve Quality of continuing education offerings|Interest in locally sourced food, composting, concerns about: climate change, pollinators, clean water, |Is there long term support for the program from the UW system 
177|Master Gardener Volunteer|10+|Female|45-64|I am choosing to answer the question.. what excites me.. being aroung people who talk about plants|it is getting to be too much pressure.. there are more than one way to make things educational |n/a|suggest other educational options.. for people who do not feel comfortable with one on one
178|County Coordinator/Educator|0-5|Male|45-64|The ability to train volunteer extension educators to expand the reach of local Extension office.|dirth of volunteerism training level 1 and later.  State and local assocition relationships|see strengths question|lack of buy-in to the value of the program by local coordinators
179|Master Gardener Volunteer|0-5|Female|45-64|Communication is a strength. I think the training and research articles are exciting. |I think the volunteer opportunities for those of us who work full time could be improved. |Not sure|I’m not aware of any
180|Master Gardener Volunteer|43595|Female|65+|Provide resource materials | The |The|The
181|Master Gardener Volunteer|43595|Female|65+|Helping the community connect with gardening|Diversity|Become more urban rather than suburban|Budget cuts 
182|County Coordinator/Educator|43595|Male|25-44|Delivers a comprehensive horticulture education curriculum to student volunteers and connects volunteers to community service opportunities|Connecting volunteers to programs that serve youth and under-resourced populations and preparing volunteers to successfully support them. |As far as millennials are concerned, the program is clunky. The online training modules are excellent.  The online reporting system is a great upgrade from paper, but that is catching up to where the system could have been 20 years ago.  App development is needed to connect volunteers to online reporting, online training, and to volunteer opportunities. Perhaps it would be a good idea to adopt volunteer management software for statewide use? Also,  the MGV program should continue to insert itself into urban agriculture trends and food systems work|As the population changes to be less dominately white, especially in urban areas, the MGV program is becoming less and less relevant to the public at large. We need to recruit volunteers and connect with community partners who represent the diversity in our communities. And, just like in 4-H, it's time we start broaching the topics of racial, white cultural dominance, white privilege/fragility with our seasoned MGVs.
183|Master Gardener Volunteer|0-5|Female|65+|Broad based instruction, wonderful resource materials, excellent instructors, except one, the new friends I made. |More interaction with other table groups, a walking tour of Boerner grounds, have food delivery bring real dinner food preorders at 7|could be more emphasis on getting schools to have gardens to provide food for students, i.e fruit trees and indoor vegetable|Other volunteer opportunities and limited time
184|Master Gardener Volunteer|10+|Female|45-64|The program's biggest strength is education but a close second is the networking with other local gardeners.|I like it the way it is but I think the online reporting will be good and save time. |Locally sourced food. We can help more people learn how to grow their own. |In our rural area there are no other places the offer the same things. 
185|Master Gardener Volunteer|10+|Female|65+|I appreciate the efforts to increase our knowledge of matters about  which  we might never have known.|Not knowing any alternatives,  I haven't any idea.|Publicity about our programs often brings others to hear about and learn of topics they might be interested in. |Not having an extension agent for our county organization as a coordinator/facilitator isn't good.
186|Master Gardener Volunteer|0-5|Female|45-64|St. Croix Trainer|Communication to public about program|Placemaking|Age diversity. Perhaps youth mentoring?
187|Master Gardener Volunteer|43595|Female|65+|Educate |Have more local experts- not a bunch of volunteers|Because of lack of funding the local experts are now three counties away.|Money and lack of it to fund experts who help each of the counties
188|Master Gardener Volunteer|0-5|Female|45-64|The program teaches the basics well and provides opportunities for further learning through reading materials. It also provides many opportunities for places to volunteer. I am excited to partner with other volunteers to learn and work the gardens.|I do not feel that there is enough oversight by the extension in regards to safety at the volunteer sights and proper use of the volunteers. Example: Ten Chimneys.|I would love to see hydroponic gardening information and initiatives. There is an untapped resource of volunteers over the winter season.|Our competitors are community groups that raise up volunteers. 
189|Master Gardener Volunteer|10+|Female|65+|Training and community service|Ok as is. |No comment|Funding cuts
190|County Coordinator/Educator|0-5|Female|25-44|Brings scientific horticulture knowledge into communities|The training is not sensitive to diverse needs. Many of the gardens/projects don't have any major impact on their communities|Change the level 1 training to be more inclusive. More creative and collaborative project opportunities|Funding match requirements on county levels
191|Master Gardener Volunteer|10+|Female|65+|Training, resources, research-based information, opportunities to interact with the public, ability to work with other master gardeners are all strengths of the program.|Some big projects take precedent over many small approved master gardener projects and there is an elitism that has developed around them that creates an impression that if you're not participating in those projects what you're doing isn't important. I also think there are to many approved master gardener projects in private facilities which to me equates to free gardening services for private entities.|We have to figure out how to attract younger gardeners. We are an aging population. Maybe more presence on social media, more garden work days in the evening or on Saturdays.|The next generation does not seem to be interested in gardening nor do they have the time. 
192|Master Gardener Volunteer|0-5|Female|45-64|Knowledge,evidence base, community outreach|Not sure. |Straw bale gardening|We are in direct opposition with all the crap that is out on the internet
193|Master Gardener Volunteer|10+|Female|65+|Getting much better at teaching HOW to answer questions from the public. What excites me: cheerful people who are willing to pitch in instead of just coming to the fun events, working with others on our projects -- I learn so much while we work and talk.|"I wish the County Boards would ""get"" how much we actually contribute, and support the Ext Office. Many of our members would like ""live"" advanced training classes/seminars/workshops. "|More environmental issues.|That we are perceived by many as a garden club, instead of volunteers for Extension and teaching the public. County Boards affect our program through budgeting - they see us as an expense instead of a value.
194|Master Gardener Volunteer|43595|Female|65+|I appreciate the monthly corespondents plus the educational articles that count towards keeping up my Master Gardener Qualification.  I enjoy the monthly meetings of our local Master Gardeners group and the speakers that are arranged for us and the public.  I appreciate the resources for answering gardening questions.|Need more local level help from Extention staff.  Sorry to loose Matt Coggers position.  Need more help in learning about presentations to gardening groups expected of Master Gardeners.|Community Garden workshops|Funding Resource people I rely on.  Not remembering those of us on the ground working in our local communities 
195|Master Gardener Volunteer|0-5|Male|65+|Education opportunities and service |Improvement in online access to specific articles of information, master index|Coordination with public and private youth organizations who have interest in gardening|Competing community organizations that provide supplies/structures but no education
196|Master Gardener Volunteer|0-5|Female|65+|Deep knowledge of gardening practices, ability to push that knowledge out to others. |Organizational skills at some of the local garden sites. No teaching, just work, work, work. No reason as to why things are being done or imparting knowledge to newbies. |Organic gardening. |Lack of visability to the program due to no advertising. All word of mouth. 
197|Master Gardener Volunteer|0-5|Female|45-64|Brings together gardeners|not sure 🤔 |Try to get younger members somehow??|It’s difficult for people working full time with families to meet their requirements of maintaining the certification. I find it difficult to find volunteer opportunities on weekends that I have time for d/t household maintenance requirements. 
198|Master Gardener Volunteer|0-5|Female|25-44|Educational articles|? I just completed the MG training in fall so no issues right now |More environmental outings to help remove invasives|None
199|Master Gardener Volunteer|0-5|Female|65+|Initial training is excellent and there are valuable options for continuing education; program orients MGVs to a broad selection of volunteer options; leaders are approachable/engaging/dedicated and work to create a sense of community and camaraderie|Coordination and communication both within the program and with other gardening organizations is a challenge. Avoid trying to do too much. Focus is important. The flip side is to give MGVs sufficient freedom in their volunteering to pursue their own interests. |"Trends: the importance of gardens and gardening to health and welfare; the interest and development of new types of gardens (urban space, accessible gardens, sensory gardens), new ways of understanding how plants relate to each other (e.g. edibles mixed with flower beds, plants communities and ""green mulch"", ways to use biocontrols instead of heavy pesticide/herbicide use. The MGV program already stresses a more ""organic"" approach to gardening and can be a platform for sharing this expertise more widely."|"Obstacles: lack of understanding/awareness about the program's contributions; need to have the beneficiaries be vocal about the impact and importance of what is being accomplished. Not sure about ""competitors"". This goes back to the earlier comment about the importance of communication and coordination with other agencies/institutions to create synergy and leverage eahc others' resources and activities."
200|Master Gardener Volunteer|10+|Female|45-64|Talking to people and educating them on the world of plants.|I hate keeping track of hours.|We have to get the younger generation involved.|Government.
201|Master Gardener Volunteer|10+|Female|65+|Supports local community gardens and school gardens|Too much local emphasis on fund raising with over $20,000 with over in treasury   and not spending it. Eliminate the fund raising. My group has too many projects.  Eliminate bus trips because they are used to make money and more community take advantage than MGs. |Put a limit on amount held in groups treasury so it can be spent in the community projects. The training program does not end with many participants joining the MG .org. |There is a big garden club here that anyone can join without so many requirements. 
202|Master Gardener Volunteer|43595|Female|45-64|Educational curriculum, online publications (Learning Store), opportunity to share passion for gardening with other volunteers and the local community|Shift of focus away from volunteers towrards supporting UW mandates and policies. (A recent article trying to differentiate between the roles of UW system and the master gardener association left me a bit bewildered.  As a volunteer of nearly a decade, I prefer to keep my focus on our improving our OCMGA programs locally, outside the context of all the political turmoil at the state level.  AS a member of our Board, I find the decreasing fpcus on listening to volunteers as opposed to communicatingedicts from above disappointing.   [We lost some knowledgable, committed volunteers due to the various bacjground check requirements over the years, some of whom spent years trying to recover from stolen identities in th past-UW seemed to show alack of empathy and support for “volunteers” .)|The expanding interest in school gardening programs (WI seems to be behind many other states in embracing theae programs (beyond possibly the Madison area) offers an opportunity to educate a future generation empowering them to make more informed choices regarding locally grown vs heavily proceesed foods packaged in environmentally unfriendly ways.   Collaboration with other Wi groups to create educational materials available for use throughtthe state would be a great alternative to each county spending volunteer time and money creating their own.|Actually “how the program is run” in recent years does indeded create one of the bigger threats. I  see “competition” for volunteer time and energy coming from other organizations offering a better volunteer experience with more support and less time “wasted” dealing ith political posturing on a local and state level.  The attrition rate from the programin the first severalyears after training is too high with all the rsources invested in training volunteers. Mor focus might be made on imrpoving volunteer experiences as they transition from training.  I am persoanlly comitting time and energy to Wild Ones native landscaping, the local garden club and an herb group (as well as Habitat and other groups outside the gardning community) with my time  being focused where I feel the most personal satisfaction and opportunity to have an impact on issues of current priority.     All the focus on hours qnd how they are collected takes focus away from the impact of our programs vs the amount of time spent (or wasted soemtimes) on “santioned projects” and endless committee and Board meetings).  Asking for a summary of X number of programs each year telling us what the focus is as the summary is the year so efforts can be adjusted to focus on those issues opposed to 
203|County Coordinator/Educator|0-5|Female|25-44|The concept of creating a volunteer group to assist in public education of horticulture. |Streamline & control the process of having master gardener groups between counties. |Embrace the transition to Madison and revamping the entire program|The upcoming generations need for instant gratification, a lot of the programing is time and age based. Also the continual number of hours needed instead of just having 1 day events that the certification can be kept with,  
204|Master Gardener Volunteer|43595|Female|65+|Social networking and community involvement |Need more direct support from UWEX and help with publicity and education in the community|Perhaps the ability to be more involved in urban garden networks|Lack of concern or support from Madison.  I do not see the recent changes to the Madison reorganization as positive for the MGV program.  Now there are not enough agriculture positions to support the MGV program.
205|Master Gardener Volunteer|43595|Female|65+|Learning new gardening ideas and socializing with gardeners|I would increase socialization and minimize the virtual/electronic aspects.|More school programs would build our future.|local garden clubs-how about inviting local clubs on bus trips or to meetings?  Invite their members to present to our membership?
206|Master Gardener Volunteer|10+|Female|65+|Education of the public about horticultural issues including invasive species.|Emphasis on preparing MGV students (those taking the training course) to help them feel comfortable speaking to small or large groups so that education is second nature when they become interns and eventually certified members.  I think we need to avoid getting ourselves bogged down in maintenance projects that go on forever.|We have the knowledge to help preserve the planet's resources from home landscaping and making wise choices about plants, chemicals, etc.  all the way to community sized plans for land use resources.  I think more of the training similar to the Placemaking program need to be part of MGV training.|The threat of reduced or losing funding is always an issue for this program.  We need to continue to document the work we do to ensure our future existence.  Competitors are other programs also funded with tax dollars.  
207|Master Gardener Volunteer|10+|Female|45-64|Strengths are: 1.there is a consistent and well researched education program across all 72 counties. 2. UW Extension is involved in the MGV Program, demonstrating the Wisconsin Idea at work. 3. UW and UW Extension staff provide sound support and contributions to the program. 4. The requirements for MGV participation help ensure that volunteers' work in the community is based on evidence based recommendations and delivered by people who have had background checks and training. 5. The MGV Program helps provide community support in schools, community gardens, juvenile facilities, senior centers and many more areas. 6. The MGV provides for networking with other MGV's across the state and nation.|The MGV Program could be improved forming connections and collaborations with other UW programming and community efforts. There should be a systems thinking approach to identify and connect soil science, local foods, SNAP, Master Food Preservers, personal health, public health, social sciences, criminal justice, etc. to build the capacity and impact of MGV's in our communities|The strength of the MGV Program is connecting people and building relationships. Relationships can extend to identifying and meeting needs in our communities more broadly. For example supporting youth in positive activities, food safety and health across all income levels, working with ADRC's, reducing recidivism...in general...community and economic development.|The major threats to the MGV program are the same as the threats to the UW Extension programming. There isn't sufficient recognition of the programs and benefits by federal, state and county partners to maintain programs, staff and resources. Funding is an obstacle. Demographics can be an obstacle as programs must adapt to appeal to younger interests and constraints on time. I do not see the MGV Program, as I know it, having real competition. It gets back to building in person relationships. Should the MGV Program move more towards online programming, then YouTube will compete for providing information and the volunteerism will suffer.
208|Master Gardener Volunteer|0-5|Female|65+|All the learning possibilities and the hands on experience in the greenhouse|More education programs not held in the middle of winter when travel can be so difficult.  How about some Saturday day programs|Can't think of any|Getting the word out to the community about educational opportunities and the plant sale isalways a challenge
209|Master Gardener Volunteer|0-5|Female|45-64|The educational aspect of the program is truly wonderful. I struggle with meeting the volunteer requirements with a family and a full time job, but the program is terrific.|Evening classes and volunteer opportunities |Not sure|Needs to be more available to working people.
210|Master Gardener Volunteer|10+|Female|45-64|Providing the public with information. |Unsure|Unsure|Unsure
211|Master Gardener Volunteer|43595|Female|65+|Learning about the different areas with plants and helping others with their needs in this .|No go to person anymore is somewhat of a problem since Chrissys departure. If we no longer have a hands on class and just online I would see as a problem |I believe working with some more of the schools and kids will bring in future gardeners |Just letting it fall behind. No funding. 
212|Master Gardener Volunteer|43595|Female|25-44|Allows people to make connections with other gardeners; gives access to high-quality, peer reviewed information (most of the time), helps with various community projects.|I attended a Master Gardener program on bees a few years ago that tried to argue that colony collapse was not due to overuse of pesticides. What shlock! I would argue for getting big pharma OUT of the MG program. Additionally, I often think the lessons are too simple for the MG audience and the service requirements too high for working people. The MG program seems designed for retirees. This is FAR too late to catch and educate good gardeners for our state.|I'd like to see some element of MG training having a professional edge: what is it like to transition into horticulture as a career? Urban gardening, community gardening skills (the politics of it, working with the city, etc) would be good topics for MGs.|I think our worst obstacle was clearly a Walker State in Wisconsin. The MG program needs more funding from the state. We see the minute and awful craziness of counting hours, apportioning every teensy bit of service and costs here and there. We shouldn't need to defend ourselves so vigorously. The state and our leaders should see us as volunteer service providers--which is what we are--and support us accordingly. I hope that we can move aggressively to garner more funding and support while Evers is governor.
213|Master Gardener Volunteer|0-5|Female|45-64|In addition to the actual gardening work, I’m excited to spiur an interesti in gardening for all ages and purposes. |Not sure as I have only volunteered one year. |I’m hoping to see more focus in farm (or garden) to table trends, especially to encourage healthy eating for all. |Really do not have any thoughts  on that. 
214|Master Gardener Volunteer|43595|Female|45-64|Education of the public regarding horticulture/gardening|As Mike mentioned, modernization.  Also, need to attract younger gardeners.|Organic,food movement|I don’t see any competitors  I see less focus on gardening.
215|Master Gardener Volunteer|43595|Female|45-64|garden walks,beautifying my community and providing education|some of the members don't want to try anything new and when it's brought up there is negativity, |teaching the community to be more  eco friendly, helping with public gardens|making to many restriction on us 
216|Master Gardener Volunteer|10+|Female|45-64|The MG program has taught me so much about the horticultural world and has given me the opportunity to share that knowledge with so many others. Spending time with like minded people and making new friends has been a great benefit to me.|The lack of agriculture agents in our counties creates a gap between our members, the county and the state level. Although I understand the need to have re certification rules, it does create hardships for some members.  |Our group is aging and I think we need to focus on the need for more ergonomic gardening methods. This would open a chance for educational programs for people with limitations.|It is very hard to recruit younger people to the program. They are so busy with children's activities. If we were to have more family friendly activities, we might be better able to attract these families to join.
217|Master Gardener Volunteer|10+|Female|45-64|I think we do an excellent job of providing educational opportunities for the general public.|"Even though we are a volunteer organization, I would eliminate the word ""volunteer"" from our titles.  It gives the impression to the public that all you have to do to become a Master Gardener is raise your hand and say ""I volunteer.""  Volunteerism is so very important, but having the word as part of our title makes the title seem ""less"" somehow."|I would really like the entire program to move toward organic gardening.  Also to team up with other organizations such as Wild Ones.|I don't think we have competitors as far as the gardening part goes.  I think our competition comes in the form of the many opportunities people have to join other organizations, classes, volunteer efforts, etc.  
218|Master Gardener Volunteer|43595|Female|45-64|Education and educational opportunities are plentiful.|I believe our chapter has too many projects that are solely “weeding”.|Nothing comes to mind right now.|I think the greatest obstacle is attracting future members.  Our group is aging and we need to find a way to attract the younger generations
219|Master Gardener Volunteer|10+|Female|65+|Continuing education programs - online;  The program has answered my questions in a timely manner|Level 2 programs that are interesting and relevant. The program offered this fall/winter - I didn't really know what it was about|Getting young people involved.  Most of our membership is over 65.  What happens when we can no longer participate?|Like I said in previous question - getting younger gardeneres involved.
220|Master Gardener Volunteer|10+|Female|65+|Provides good education|more information about sustainable gardening and organic methods|develop involvement to Community Gardens to bring more community development and food security|Our rural county now gets very little support from the local office.  I realize there are budget cuts but many of the volunters are older and not all are comfortable with computers and distance learning.  If local ofices will have futher reductions perhaps Extension will provide more education to make the computer contact easier.
221|Master Gardener Volunteer|10+|Female|45-64|Providing technical information to the public. Hosting learning events for the publuc and other MGV.|Nothng|More information about organically. Emphasis on managing invasives. |More assistance support from the local extension office. Garden centers are offering more classes. Some of these are taught by MGV but not all. Concerned about the info provided if not taught by MGV. 
222|Master Gardener Volunteer|43595|Female|65+|Educates members who educate others.  Beautifies public places|need more younger folks|dont know|Government funding cuts will decimate all extension services
223|Master Gardener Volunteer|43595|Female|25-44|Fun getting together with others that share same passions for gardening.|"The amount of paperwork involved. I would like to see multiple forms eliminated and a system where things can be submitted online, including reimbursement requests. There also needs to be more flexibility to change and willingness to move beyond ""how we've always done it"" mentality."|The group seems to be getting more diverse in age and hopefully the younger generations will offer fresh ideas and talents. |unsure
224|Master Gardener Volunteer|0-5|Female|25-44|Offers a variety of ways to learn and serve the community|I wish that the programming was more accessible to Milwaukee city.|Greater outreach with working people and families. The lack of time and peoples' busy schedules is a real hurdle to increasing  awareness and stewardship of our environment.|Better knowledge and use of technology. I see that many improvements in this area are in progress and that makes me happy. 
225|Master Gardener Volunteer|10+|Female|65+|The program does great job in monthly meeting presentations, offering outings, and providing projects with direction.  I get excited when program teaches us new things about current topics and procedures. |"I would improve on revolving lead people and getting ""new blood"" and ideas into the local program.  I would eliminate such long monthly meetings with such tedious membership reporting.  We combine our monthly meeting with 1 hour of educational presentations which are great; but then proceed into hour plus meeting .  That is way too long for attending.  When I worked I coud not tolerate that meeting after full day of work.  We are only catering to retired folks.  By doing this the younger participants feel not part of decisions and group. "|More community outreach. |The recording feature going to computer programs is bit overwhelming .  Just keeping track of categories etc. is so confusing.  
226|Master Gardener Volunteer|43595|Female|45-64|The MG program does a great job with community involvement. Educating, beautifying and volunteering to make their communities better.|Personally I don't like all the reporting. The tracking of time. I realize that it's important in order to maintain integrity in the program but most master gardeners exceed the minimum volunteer hour requirements.|Hectic lifestyles shouldn't keep people from gardening. I think a focus for master gardeners is low maintenance, sustainable gardening. I also would like to focus on bringing edibles into landscape gardening. Utilizing containers and small spaces for gardening.|The surge in Community Share Agriculture is perhaps a threat. Easy and economical access to organic produce, flowers and even honey, eggs and kombucha may keep people from joining the MG program.
227|Master Gardener Volunteer|10+|Female|65+|educates folks with garden interests, provide clear source for accurate information re plants and growing, build gardening/gardener friendships, |I'm still looking for clarification of relationship between WIGMA and UW, |Pursue involvement with youth organizations, |declining number of retired folks with interest/abilities as Babyboomers age and more retirement age folks continue to work,
228|Master Gardener Volunteer|43595|Female|45-64|the volunteering and being outside learning getting ready for retirement so i have time for these projects|the weakness was when you eliminated our teachers that had all of this knowledge and you have cut back on any kind of teacher or helpful, knowledgeable person to answer any questions. to have one person for our county that will focus manly in milwaukee is a joke our ex-governor helped make this mess he created 5 years ago we had 140 in class now you might get 15 and if our individual group gets political what a shame that we have worked this hard for nothing. you need all ages to come together for maintaining our future. wisconsin let foxcomm in to do such damage that will never be fixed|we need to focus on our younger generation thru 4-h and high schools for ffa everything is going foreign|local gardening groups that help teach each other without political people being subjected to doing their projects for free. how much money is in our reserves and for what reason is there anything over 5,ooo dollars doing without it going back to our projects. or for schalships for the younger generation we should not need that money sitting in a bank account waiting to be stolen from us.
229|Master Gardener Volunteer|0-5|Female|65+|Working on public projects and providing educational opportunities at the same time.|"Making the public aware of what the master gardeners do for the community. Need to ""advertise"" our efforts to draw more members."|Recognizing and addressing climate change impact on the local level. This does not needs to be informative vrs controversial. ee should also provide equal focus on non-toxic gardening methods that provide a safer environment in our public projects.|Drawing in new members is always a challange. The majority of our local membership are either retirees or close to retirement. Over the next 5 years, recruiting younger members will become imperative and it will need to be at a higher ratio since younger members will have competing obligations (i.e.: work, family). Competition would be any other volunteer activiyy that will compete for time. For example, I volunteer as a CASA, which accounts gor about 30 hours a month and I also volunteer as an MG. I am on the local board as well as in charge of an ongoing project, which accounts for about 20 hours a month, in total.
230|Master Gardener Volunteer|0-5|Male|65+|Good learning through various types of teaching programs. Good diversity of volunteer options.|More options for viewing other home gardens|Could try to partner with working with some of the individual plant societies such as iris, day Lilly, Wild Ones,Rose societies, etc.|I do not see this as competitors but other groups trying to do similar functions.  Could offer volunteer hours through other organizations when they have events such as weekend weed puts etc.
